Plot,Date,ALHU,AMCR,AMRO,ANHU,BHCO,BHGR,BLPH,BRCR,BTPI,BUSH,CALT,CASJ,CBCH,CEDW,COHA,CORA,DEJU,DOWO,FOSP,GCSP,GHOW,HAWO,HETH,HOFI,HOWR,HUVI,LEGO,MODO,NOFL,NUWO,OCWA,OSFL,PAWR,PISI,PSFL,PUFI,PYNU,RBSA,RCKI,ROPI,RSHA,RTHA,RU/ALHU,SOSP,SPTO,STJA,SWTH,TOWA,VATH,WCSP,WEBL,WETA,WIWA,WTSP,YEWA,YRWA
10. Historic III,2/20/2022,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
10. Historic III,3/12/2022,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,1,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,,
10. Historic III,3/27/2022,,,1,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,
10. Historic III,4/9/2022,,,1,1,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,2,,,,2,,,,,,1,1,,,,1,,,,,2,,,
10. Historic III,4/24/2022,,,2,1,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,3,,,,2,,,,,,,3,,1,,,,,,,,,,
10. Historic III,5/6/2022,,,2,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,
10. Historic III,5/29/2022,,,,2,,,,,,,,,,,1,1,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,1,,,
10. Historic III,6/4/2022,,,,1,,1,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Historic III,6/12/2022,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,
10. Historic III,7/10/2022,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
10. Historic III,7/30/2022,,,,,,,,,,,,1,3,,,,3,,,,,,,2,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,
10. Historic III,8/11/2022,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,1,,,,,,,,2,,,,,,,3,,,,,,,,,,,,
10. Historic III,8/31/2022,,,,,,,,,,,,,3,,,,3,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
10. Historic III,9/14/2022,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,1,,,
10. Historic III,9/29/2022,,,,1,,,,,,,,,1,,,,,,3,,,1,,1,,,,,,,,,2,,1,,4,,,,,,,2,,,,,,,,,,,,
10. Historic III,10/12/2022,,,1,1,,,,,,,,,,,,,1,,1,,,,1,,,,,,1,,,,3,,,,2,,1,,,,,1,,,,,,,,,,,,
10. Historic III,10/26/2022,,,,2,,,,,,,,,3,,,,,,3,,,,,1,,,,,,,,,1,,,,3,,2,,,,,2,,,,1,1,,,,,,,
10. Historic III,11/13/2022,,,2,1,,,,,,4,,,2,,,,,,1,,,1,1,,,,,,,,,,3,,,,,,4,,,,,1,,,,1,1,,,,,,,
10. Historic III,11/23/2022,,,2,1,,,,,,,,,1,,,,1,,3,,,,1,2,,,,,1,,,,1,,,,2,,1,,,,,3,,1,,,,,,,,,,2
10. Historic III,12/5/2022,,,,2,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,1,,,,1,,3,,,,,,,,,1,,,,,,,,
10. Historic III,12/20/2022,,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,1,,3,,,,,,,1,,,,,,,,,,
11. Historic IV,1/15/2022,,,,1,,,,,,,,,,,,,3,,2,,,,1,,,,,,,,,,1,,,,,,2,,,,,2,,,,,,,,,,,,
11. Historic IV,1/30/2022,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
11. Historic IV,2/13/2022,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,1,,,,,,,,
11. Historic IV,2/20/2022,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,2,,,,,,,,,,,,
11. Historic IV,3/12/2022,,,,1,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
11. Historic IV,3/27/2022,,,1,1,,,,,,,,,2,,,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
11. Historic IV,4/9/2022,,,,,,,,,,,,,2,,,1,2,,,,,,,2,,,,,,1,,,1,,,,,,,,,,,2,,1,,,,,,,1,,,
11. Historic IV,4/24/2022,,,1,1,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,2,,,,,,,,,,2,3,,,,,,,,,2,,,
11. Historic IV,5/6/2022,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,
11. Historic IV,5/29/2022,2,,,,,,,,,,,,1,,,,2,,,,,,,2,,,,1,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,
11. Historic IV,6/4/2022,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,1,,2,,,,,,,,,,
11. Historic IV,6/12/2022,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,1,,,,,,,3,,,,,,,,,1,,,
11. Historic IV,7/10/2022,,,,,,,,,,,,,1,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,
11. Historic IV,7/30/2022,,,3,1,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
11. Historic IV,8/11/2022,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
11. Historic IV,8/31/2022,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Historic IV,9/14/2022,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,1,,,,,,,,,,
11. Historic IV,9/29/2022,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,2,,,,4,,,,,,,2,,1,,,,,,,,,,
11. Historic IV,10/12/2022,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,2,,,,,,,,,,1,,
11. Historic IV,10/26/2022,,,,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
11. Historic IV,11/13/2022,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Historic IV,11/23/2022,,,,1,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,2,,1,,,,,1,,,,,,,,,,,,
11. Historic IV,12/5/2022,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,
11. Historic IV,12/20/2022,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,
12. North Ridge,1/15/2022,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12. North Ridge,1/30/2022,,,,1,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. North Ridge,2/13/2022,,,,1,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,
12. North Ridge,2/20/2022,1,,,1,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,3,,,1,,4,,,,,,,,,,,,
12. North Ridge,3/12/2022,,,2,,,,,,,,,,2,,,,3,,,,,,,2,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
12. North Ridge,3/27/2022,,,2,1,,,,1,,,,,1,,,,2,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
12. North Ridge,4/9/2022,1,,,1,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,2,,1,,,,,3,,,,,,,,,,,,
12. North Ridge,4/24/2022,1,,2,2,,,,,,,,,1,4,,2,2,,2,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,
12. North Ridge,5/6/2022,,,1,1,,,,,,,,,2,3,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,1,,,,,,,,,,
12. North Ridge,5/29/2022,,,,,,,,1,,,1,,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
12. North Ridge,6/4/2022,1,,2,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
12. North Ridge,6/12/2022,1,,1,2,,,,,,,,,2,,,1,2,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
12. North Ridge,7/10/2022,1,,2,,,1,,1,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,
12. North Ridge,7/30/2022,2,,2,,,,,,,,,,2,,,,1,,,,,,,6,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
12. North Ridge,8/11/2022,,,2,1,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
12. North Ridge,8/31/2022,,,,1,,,,1,,,,,1,,,,,1,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
12. North Ridge,9/14/2022,,,,1,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
12. North Ridge,9/29/2022,,,,2,,,,,,,,,2,,,,1,,1,,,,,2,,,,,,,,,1,,,,,,,,,,,1,,2,,,,,,,,,,
12. North Ridge,10/12/2022,,,,1,,,,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,3,,1,,,,,,,,,,1
12. North Ridge,10/26/2022,,,,1,,,,,,,,,,,,,2,,1,,,,1,1,1,1,1,,,,,,1,,,1,1,,,,,,,1,,1,,,,,,,,,,
12. North Ridge,11/13/2022,,,,3,,,1,2,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,
12. North Ridge,11/23/2022,,,1,1,,,1,,,,,,2,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,
12. North Ridge,12/5/2022,,,,,,,,2,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
12. North Ridge,12/20/2022,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,
13. Medical,1/15/2022,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
13. Medical,1/30/2022,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,
13. Medical,2/13/2022,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
13. Medical,2/20/2022,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
13. Medical,3/12/2022,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,
13. Medical,3/27/2022,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,
13. Medical,4/9/2022,,,,1,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,1,,,,2,,,1,,,
13. Medical,4/24/2022,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,
13. Medical,5/6/2022,,1,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,2,,,,,,
13. Medical,5/29/2022,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,2,,,,,,
13. Medical,6/4/2022,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
13. Medical,6/12/2022,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,
13. Medical,7/10/2022,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,2,,,,,,
13. Medical,7/30/2022,,,,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
13. Medical,8/11/2022,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,
13. Medical,8/31/2022,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,
13. Medical,9/14/2022,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
13. Medical,9/29/2022,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,
13. Medical,10/12/2022,,,,1,,,,,,,,,,,,1,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
13. Medical,10/26/2022,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
13. Medical,11/13/2022,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,
13. Medical,11/23/2022,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
13. Medical,12/5/2022,,,,,,,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,1,,,,1,,1,,,,,1,,,,1,,,,,,,,
13. Medical,12/20/2022,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,
2. Fairy Gates,1/15/2022,,,2,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,
2. Fairy Gates,1/30/2022,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,
2. Fairy Gates,2/13/2022,,,2,3,,,,,,3,,,,,,,1,,,,,,,3,,,,,,,,,,,,,3,,1,,,,,2,,,,,,,,,,,,
2. Fairy Gates,2/20/2022,1,,3,2,,,,,,,,,,,,1,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Fairy Gates,3/12/2022,,,,1,,,,,,,,,,8,,1,1,,,,,,,3,,,,,,1,,,,,,,2,,,,,,2,,,,,,,,,,,,,
2. Fairy Gates,3/27/2022,,,,1,,,,,,,,,,,,3,3,,,,,,2,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,
2. Fairy Gates,4/9/2022,,,1,1,,,,,,3,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,
2. Fairy Gates,4/24/2022,,,1,1,,,,,,3,,,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Fairy Gates,5/6/2022,,,3,1,,,,,,2,,,3,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
2. Fairy Gates,5/29/2022,1,,,1,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,
2. Fairy Gates,6/4/2022,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,1,3,,,,,,,,,,,,
2. Fairy Gates,6/12/2022,2,,2,,,,,,,,,,3,,,1,1,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,1,1,,,,,,1,,,
2. Fairy Gates,7/10/2022,,,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,
2. Fairy Gates,7/30/2022,,,,1,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
2. Fairy Gates,8/11/2022,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,
2. Fairy Gates,8/31/2022,1,,,1,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2. Fairy Gates,9/14/2022,,,,1,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,
2. Fairy Gates,9/29/2022,,,,3,,,,,,,,,1,,,2,,,1,,,,,1,,,,,,,,,1,,1,,2,,,,,,,1,,1,,,,,,,,,,
2. Fairy Gates,10/12/2022,,1,,1,,,,,,,,1,1,,,1,,1,1,,,,,2,1,,,,,,,,1,,,,1,,1,,1,1,,1,,2,,,,,,,,,,
2. Fairy Gates,10/26/2022,,,2,2,,,,,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,1,4,,1,,,,,2,,,,,,,,,,,,1
2. Fairy Gates,11/13/2022,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,6,,,,,,,1,,1,,,,,,,,,,
2. Fairy Gates,11/23/2022,,,1,1,,,,,,,,,1,,,,1,,2,,,,,1,,,,,,,,,1,,,,1,,1,,,,,1,,,,,,,,,,,,1
2. Fairy Gates,12/5/2022,,,,2,,,,,,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,
2. Fairy Gates,12/20/2022,,,,1,,,,1,,,,,4,,,,,,1,,,,,1,,,,,,1,,,,,,,1,,3,,,,,1,,,,1,,,,,,,,1
3. East Ridge,1/15/2022,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
3. East Ridge,1/30/2022,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. East Ridge,2/13/2022,,,2,3,,,,,,,,,2,,,,4,,,,,,,4,,,3,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,
3. East Ridge,2/20/2022,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,1,,,,,2,,,,,,,,,,,,
3. East Ridge,3/12/2022,,,,,,,,,,,,,1,,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,3
3. East Ridge,3/27/2022,,,,1,,,,,,,,,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
3. East Ridge,4/9/2022,,,,1,,,,,2,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,
3. East Ridge,4/24/2022,,,,2,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,2,,,,,,1,3,,2,,,,1,,,,,,
3. East Ridge,5/6/2022,,,,1,,,1,,,,,,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
3. East Ridge,5/29/2022,1,,,,,,,,,,,,2,,,1,2,,,,,,,4,,,,,,,,,,,,,1,,,,,,,2,,1,,1,,,,,,,,
3. East Ridge,6/4/2022,,1,,0,,,,,,,,,2,,,2,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1
3. East Ridge,6/12/2022,1,,,1,,,,,,,1,,1,,,1,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,
3. East Ridge,7/10/2022,1,,,1,,,,,,,,,,,,1,2,,,,,1,,3,,,,,,,1,,,,,,,,,,,,,2,,1,,,,,,,,,,
3. East Ridge,7/30/2022,,,,1,,,,,,3,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3. East Ridge,8/11/2022,,,2,,,,,,,,,,,,,,2,,,,,,,3,,,1,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,
3. East Ridge,8/31/2022,1,,2,2,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,
3. East Ridge,9/14/2022,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,
3. East Ridge,9/29/2022,,,,1,,,,,,,,,2,,,1,,,,,,,,2,1,,,,1,,,,1,,,,2,,,,,2,,,,1,,,,,,,,,1,
3. East Ridge,10/12/2022,,,,2,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
3. East Ridge,10/26/2022,,,,2,,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
3. East Ridge,11/13/2022,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. East Ridge,11/23/2022,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
3. East Ridge,12/5/2022,,,,1,,,1,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
3. East Ridge,12/20/2022,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,
4. Mystery,1/15/2022,,,,1,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
4. Mystery,1/30/2022,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,1,,1,,,,,,,,
4. Mystery,2/13/2022,,,,,,,,,,,,,,,,,2,,2,,,,2,2,,,,,,1,,,1,,,,,,1,,,,,3,,1,,,,,,,,,,
4. Mystery,2/20/2022,2,,,1,,,,,,,,,,,,,,,1,,,,1,,,2,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,
4. Mystery,3/12/2022,,,,2,,,,,,,,,,,,2,,,2,,,,,5,,,,,,,,,1,,,,3,,,,,,,,,2,,,,,,,,,,
